"","FeatureID","SampleID","counts"
"1","549322","CL3",0
"2","549322","CC1",0
"3","549322","SV1",0
"4","549322","M31Fcsw",0
"5","549322","M11Fcsw",0
"6","549322","M31Plmr",0
"7","549322","M11Plmr",0
"8","549322","F21Plmr",0
"9","549322","M31Tong",0
"10","549322","M11Tong",0
"11","549322","LMEpi24M",0
"12","549322","SLEpi20M",1
"13","549322","AQC1cm",27
"14","549322","AQC4cm",100
"15","549322","AQC7cm",130
"16","549322","NP2",1
"17","549322","NP3",0
"18","549322","NP5",0
"19","549322","TRRsed1",0
"20","549322","TRRsed2",0
"21","549322","TRRsed3",0
"22","549322","TS28",0
"23","549322","TS29",0
"24","549322","Even1",0
"25","549322","Even2",0
"26","549322","Even3",0
"27","522457","CL3",0
"28","522457","CC1",0
"29","522457","SV1",0
"30","522457","M31Fcsw",0
"31","522457","M11Fcsw",0
"32","522457","M31Plmr",0
"33","522457","M11Plmr",0
"34","522457","F21Plmr",0
"35","522457","M31Tong",0
"36","522457","M11Tong",0
"37","522457","LMEpi24M",0
"38","522457","SLEpi20M",0
"39","522457","AQC1cm",0
"40","522457","AQC4cm",2
"41","522457","AQC7cm",6
"42","522457","NP2",0
"43","522457","NP3",0
"44","522457","NP5",0
"45","522457","TRRsed1",0
"46","522457","TRRsed2",0
"47","522457","TRRsed3",0
"48","522457","TS28",0
"49","522457","TS29",0
"50","522457","Even1",0
"51","522457","Even2",0
"52","522457","Even3",0
"53","951","CL3",0
"54","951","CC1",0
"55","951","SV1",0
"56","951","M31Fcsw",0
"57","951","M11Fcsw",0
"58","951","M31Plmr",0
"59","951","M11Plmr",1
"60","951","F21Plmr",0
"61","951","M31Tong",0
"62","951","M11Tong",0
"63","951","LMEpi24M",0
"64","951","SLEpi20M",0
"65","951","AQC1cm",0
"66","951","AQC4cm",0
"67","951","AQC7cm",0
"68","951","NP2",0
"69","951","NP3",0
"70","951","NP5",0
"71","951","TRRsed1",0
"72","951","TRRsed2",0
"73","951","TRRsed3",0
"74","951","TS28",0
"75","951","TS29",0
"76","951","Even1",0
"77","951","Even2",0
"78","951","Even3",0
"79","244423","CL3",0
"80","244423","CC1",0
"81","244423","SV1",0
"82","244423","M31Fcsw",0
"83","244423","M11Fcsw",0
"84","244423","M31Plmr",0
"85","244423","M11Plmr",0
"86","244423","F21Plmr",0
"87","244423","M31Tong",0
"88","244423","M11Tong",0
"89","244423","LMEpi24M",0
"90","244423","SLEpi20M",0
"91","244423","AQC1cm",0
"92","244423","AQC4cm",22
"93","244423","AQC7cm",29
"94","244423","NP2",0
"95","244423","NP3",0
"96","244423","NP5",0
"97","244423","TRRsed1",0
"98","244423","TRRsed2",0
"99","244423","TRRsed3",0
"100","244423","TS28",0
"101","244423","TS29",0
"102","244423","Even1",0
"103","244423","Even2",0
"104","244423","Even3",0
"105","586076","CL3",0
"106","586076","CC1",0
"107","586076","SV1",0
"108","586076","M31Fcsw",0
"109","586076","M11Fcsw",0
"110","586076","M31Plmr",0
"111","586076","M11Plmr",0
"112","586076","F21Plmr",0
"113","586076","M31Tong",0
"114","586076","M11Tong",0
"115","586076","LMEpi24M",0
"116","586076","SLEpi20M",0
"117","586076","AQC1cm",0
"118","586076","AQC4cm",2
"119","586076","AQC7cm",1
"120","586076","NP2",0
"121","586076","NP3",0
"122","586076","NP5",0
"123","586076","TRRsed1",0
"124","586076","TRRsed2",0
"125","586076","TRRsed3",0
"126","586076","TS28",0
"127","586076","TS29",0
"128","586076","Even1",0
"129","586076","Even2",0
"130","586076","Even3",0
"131","246140","CL3",0
"132","246140","CC1",0
"133","246140","SV1",0
"134","246140","M31Fcsw",0
"135","246140","M11Fcsw",0
"136","246140","M31Plmr",0
"137","246140","M11Plmr",0
"138","246140","F21Plmr",0
"139","246140","M31Tong",0
"140","246140","M11Tong",0
"141","246140","LMEpi24M",0
"142","246140","SLEpi20M",0
"143","246140","AQC1cm",0
"144","246140","AQC4cm",1
"145","246140","AQC7cm",3
"146","246140","NP2",0
"147","246140","NP3",0
"148","246140","NP5",0
"149","246140","TRRsed1",0
"150","246140","TRRsed2",0
"151","246140","TRRsed3",0
"152","246140","TS28",0
"153","246140","TS29",0
"154","246140","Even1",0
"155","246140","Even2",0
"156","246140","Even3",0
"157","143239","CL3",7
"158","143239","CC1",1
"159","143239","SV1",0
"160","143239","M31Fcsw",0
"161","143239","M11Fcsw",0
"162","143239","M31Plmr",0
"163","143239","M11Plmr",3
"164","143239","F21Plmr",0
"165","143239","M31Tong",0
"166","143239","M11Tong",0
"167","143239","LMEpi24M",0
"168","143239","SLEpi20M",0
"169","143239","AQC1cm",0
"170","143239","AQC4cm",0
"171","143239","AQC7cm",0
"172","143239","NP2",0
"173","143239","NP3",0
"174","143239","NP5",0
"175","143239","TRRsed1",0
"176","143239","TRRsed2",0
"177","143239","TRRsed3",0
"178","143239","TS28",0
"179","143239","TS29",0
"180","143239","Even1",0
"181","143239","Even2",0
"182","143239","Even3",0
"183","244960","CL3",0
"184","244960","CC1",0
"185","244960","SV1",0
"186","244960","M31Fcsw",0
"187","244960","M11Fcsw",0
"188","244960","M31Plmr",0
"189","244960","M11Plmr",0
"190","244960","F21Plmr",0
"191","244960","M31Tong",0
"192","244960","M11Tong",0
"193","244960","LMEpi24M",0
"194","244960","SLEpi20M",0
"195","244960","AQC1cm",0
"196","244960","AQC4cm",1
"197","244960","AQC7cm",0
"198","244960","NP2",0
"199","244960","NP3",0
"200","244960","NP5",0
"201","244960","TRRsed1",0
"202","244960","TRRsed2",0
"203","244960","TRRsed3",0
"204","244960","TS28",0
"205","244960","TS29",0
"206","244960","Even1",0
"207","244960","Even2",0
"208","244960","Even3",0
"209","255340","CL3",153
"210","255340","CC1",194
"211","255340","SV1",0
"212","255340","M31Fcsw",0
"213","255340","M11Fcsw",0
"214","255340","M31Plmr",0
"215","255340","M11Plmr",0
"216","255340","F21Plmr",0
"217","255340","M31Tong",0
"218","255340","M11Tong",0
"219","255340","LMEpi24M",0
"220","255340","SLEpi20M",0
"221","255340","AQC1cm",1
"222","255340","AQC4cm",0
"223","255340","AQC7cm",1
"224","255340","NP2",0
"225","255340","NP3",0
"226","255340","NP5",0
"227","255340","TRRsed1",0
"228","255340","TRRsed2",0
"229","255340","TRRsed3",0
"230","255340","TS28",0
"231","255340","TS29",0
"232","255340","Even1",2
"233","255340","Even2",1
"234","255340","Even3",0
"235","144887","CL3",3
"236","144887","CC1",5
"237","144887","SV1",0
"238","144887","M31Fcsw",0
"239","144887","M11Fcsw",0
"240","144887","M31Plmr",0
"241","144887","M11Plmr",0
"242","144887","F21Plmr",0
"243","144887","M31Tong",0
"244","144887","M11Tong",0
"245","144887","LMEpi24M",0
"246","144887","SLEpi20M",0
"247","144887","AQC1cm",0
"248","144887","AQC4cm",0
"249","144887","AQC7cm",0
"250","144887","NP2",0
"251","144887","NP3",0
"252","144887","NP5",0
"253","144887","TRRsed1",0
"254","144887","TRRsed2",0
"255","144887","TRRsed3",0
"256","144887","TS28",0
"257","144887","TS29",0
"258","144887","Even1",0
"259","144887","Even2",0
"260","144887","Even3",0
"261","141782","CL3",9
"262","141782","CC1",35
"263","141782","SV1",0
"264","141782","M31Fcsw",0
"265","141782","M11Fcsw",0
"266","141782","M31Plmr",0
"267","141782","M11Plmr",0
"268","141782","F21Plmr",0
"269","141782","M31Tong",0
"270","141782","M11Tong",0
"271","141782","LMEpi24M",0
"272","141782","SLEpi20M",0
"273","141782","AQC1cm",0
"274","141782","AQC4cm",0
"275","141782","AQC7cm",0
"276","141782","NP2",0
"277","141782","NP3",0
"278","141782","NP5",0
"279","141782","TRRsed1",0
"280","141782","TRRsed2",0
"281","141782","TRRsed3",0
"282","141782","TS28",0
"283","141782","TS29",0
"284","141782","Even1",0
"285","141782","Even2",0
"286","141782","Even3",0
"287","215972","CL3",0
"288","215972","CC1",3
"289","215972","SV1",0
"290","215972","M31Fcsw",0
"291","215972","M11Fcsw",0
"292","215972","M31Plmr",0
"293","215972","M11Plmr",0
"294","215972","F21Plmr",0
"295","215972","M31Tong",0
"296","215972","M11Tong",0
"297","215972","LMEpi24M",0
"298","215972","SLEpi20M",0
"299","215972","AQC1cm",0
"300","215972","AQC4cm",0
"301","215972","AQC7cm",0
"302","215972","NP2",0
"303","215972","NP3",0
"304","215972","NP5",0
"305","215972","TRRsed1",0
"306","215972","TRRsed2",0
"307","215972","TRRsed3",0
"308","215972","TS28",0
"309","215972","TS29",0
"310","215972","Even1",0
"311","215972","Even2",0
"312","215972","Even3",0
"313","31759","CL3",0
"314","31759","CC1",1
"315","31759","SV1",0
"316","31759","M31Fcsw",0
"317","31759","M11Fcsw",0
"318","31759","M31Plmr",0
"319","31759","M11Plmr",0
"320","31759","F21Plmr",0
"321","31759","M31Tong",0
"322","31759","M11Tong",0
"323","31759","LMEpi24M",0
"324","31759","SLEpi20M",0
"325","31759","AQC1cm",0
"326","31759","AQC4cm",0
"327","31759","AQC7cm",0
"328","31759","NP2",0
"329","31759","NP3",0
"330","31759","NP5",0
"331","31759","TRRsed1",0
"332","31759","TRRsed2",0
"333","31759","TRRsed3",0
"334","31759","TS28",0
"335","31759","TS29",0
"336","31759","Even1",0
"337","31759","Even2",0
"338","31759","Even3",0
"339","30678","CL3",0
"340","30678","CC1",3
"341","30678","SV1",0
"342","30678","M31Fcsw",0
"343","30678","M11Fcsw",0
"344","30678","M31Plmr",0
"345","30678","M11Plmr",0
"346","30678","F21Plmr",0
"347","30678","M31Tong",0
"348","30678","M11Tong",0
"349","30678","LMEpi24M",0
"350","30678","SLEpi20M",1
"351","30678","AQC1cm",0
"352","30678","AQC4cm",0
"353","30678","AQC7cm",0
"354","30678","NP2",0
"355","30678","NP3",0
"356","30678","NP5",0
"357","30678","TRRsed1",0
"358","30678","TRRsed2",0
"359","30678","TRRsed3",0
"360","30678","TS28",0
"361","30678","TS29",0
"362","30678","Even1",0
"363","30678","Even2",0
"364","30678","Even3",0
"365","138353","CL3",0
"366","138353","CC1",0
"367","138353","SV1",19
"368","138353","M31Fcsw",0
"369","138353","M11Fcsw",0
"370","138353","M31Plmr",0
"371","138353","M11Plmr",0
"372","138353","F21Plmr",0
"373","138353","M31Tong",0
"374","138353","M11Tong",0
"375","138353","LMEpi24M",0
"376","138353","SLEpi20M",0
"377","138353","AQC1cm",0
"378","138353","AQC4cm",0
"379","138353","AQC7cm",0
"380","138353","NP2",0
"381","138353","NP3",0
"382","138353","NP5",0
"383","138353","TRRsed1",0
"384","138353","TRRsed2",2
"385","138353","TRRsed3",0
"386","138353","TS28",0
"387","138353","TS29",0
"388","138353","Even1",0
"389","138353","Even2",0
"390","138353","Even3",0
"391","406058","CL3",1
"392","406058","CC1",0
"393","406058","SV1",0
"394","406058","M31Fcsw",0
"395","406058","M11Fcsw",0
"396","406058","M31Plmr",0
"397","406058","M11Plmr",0
"398","406058","F21Plmr",0
"399","406058","M31Tong",0
"400","406058","M11Tong",0
"401","406058","LMEpi24M",0
"402","406058","SLEpi20M",0
"403","406058","AQC1cm",0
"404","406058","AQC4cm",1
"405","406058","AQC7cm",0
"406","406058","NP2",0
"407","406058","NP3",0
"408","406058","NP5",0
"409","406058","TRRsed1",0
"410","406058","TRRsed2",0
"411","406058","TRRsed3",0
"412","406058","TS28",0
"413","406058","TS29",0
"414","406058","Even1",0
"415","406058","Even2",0
"416","406058","Even3",0
"417","30405","CL3",808
"418","30405","CC1",11
"419","30405","SV1",3
"420","30405","M31Fcsw",0
"421","30405","M11Fcsw",0
"422","30405","M31Plmr",0
"423","30405","M11Plmr",0
"424","30405","F21Plmr",0
"425","30405","M31Tong",0
"426","30405","M11Tong",0
"427","30405","LMEpi24M",0
"428","30405","SLEpi20M",0
"429","30405","AQC1cm",0
"430","30405","AQC4cm",0
"431","30405","AQC7cm",1
"432","30405","NP2",1
"433","30405","NP3",0
"434","30405","NP5",0
"435","30405","TRRsed1",0
"436","30405","TRRsed2",0
"437","30405","TRRsed3",0
"438","30405","TS28",0
"439","30405","TS29",0
"440","30405","Even1",6
"441","30405","Even2",0
"442","30405","Even3",0
"443","1126","CL3",0
"444","1126","CC1",0
"445","1126","SV1",0
"446","1126","M31Fcsw",0
"447","1126","M11Fcsw",0
"448","1126","M31Plmr",0
